year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1980's,Walking Blues,Big Joe Williams,0.509,0.277,-14.323,0.0495,0.827,0.00206,0.64,101.157
1980's,Suddenly Last Summer,The Motels,0.716,0.753,-5.682,0.0286,0.162,0.0306,0.561,120.141
1980's,Sanctuary,Béla Fleck,0.36,0.542,-13.885,0.0339,0.368,0.165,0.803,116.831
1980's,The Wild Rover,The Pogues,0.656,0.512,-11.872,0.029,0.585,0,0.88,97.5
1980's,In The Driver's Seat,John Schneider,0.642,0.889,-5.62,0.0494,0.375,0,0.764,163.351
1980's,Slow Kill,Fields Of The Nephilim,0.296,0.547,-15.115,0.0327,0.000291,0.0136,0.49,148.775
1980's,Young Wild And Free,Brighton Rock,0.454,0.734,-15.559,0.041,0.124,1.36e-05,0.46,135.527
1980's,Holiday,The Other Ones,0.487,0.853,-10.165,0.0343,0.0277,0.00737,0.802,83.593
1980's,Answering Machine,Rupert Holmes,0.775,0.488,-15.044,0.123,0.24,0,0.961,81.158
1980's,Crystal Ball,Yngwie Malmsteen,0.406,0.777,-11.498,0.059,0.087,1.63e-05,0.456,131.109
1980's,Right On Track,The Breakfast Club,0.763,0.824,-10.054,0.033,0.0613,4.45e-05,0.947,116.975
1980's,Driving Blind,Chris & Cosey,0.806,0.749,-14.328,0.0502,0.00164,0.898,0.252,115.718
1980's,Coumba,Orchestra Baobab,0.655,0.304,-15.005,0.0375,0.751,0.0052,0.442,82.465
1980's,Toy Soldiers,Martika,0.514,0.59,-6.405,0.0274,0.403,0,0.173,130.167
1980's,Make It Real,The Jets,0.724,0.275,-11.332,0.0354,0.205,0.0001,0.653,79.944
1980's,The Silver Ball - 2005 Digital Remaster,Harold Budd,0.0802,0.0176,-29.853,0.0434,0.939,0.814,0.0489,81.378
1980's,Leila,ZZ Top,0.707,0.513,-14.836,0.0295,0.106,0.0519,0.791,111.402
1980's,Ridge Road Gravel,Norman Blake,0.639,0.15,-18.53,0.0357,0.822,0.0013,0.711,98.852
1980's,Mordor - Live in Munich,Running Wild,0.22,0.924,-11.801,0.0468,3.2e-05,0.0706,0.273,176.57
1980's,Habaneras de Cadiz,Carlos Cano,0.483,0.26,-12.947,0.0516,0.948,3.14e-06,0.468,129.326
1980's,Hungry Heart,Bruce Springsteen,0.641,0.894,-7.41,0.0273,0.0857,0.009,0.972,109.823
1980's,No Competition,Eric B. & Rakim,0.852,0.42,-21.28,0.293,0.0246,0.000699,0.647,117.109
1980's,Oh Boy,Slime,0.332,0.946,-5.413,0.0885,0.000946,0.00281,0.45,123.247
1980's,Precious To Me,Phil Seymour,0.698,0.867,-5.946,0.0278,0.0184,0,0.956,129.549
1980's,Storms in Africa - Pt. II,Enya,0.475,0.463,-18.689,0.0444,0.762,0.93,0.528,104.05
1980's,Catch Me I'm Falling,Real Life,0.574,0.803,-6.866,0.052,0.000176,0.0456,0.771,84.791
1980's,Tollkühn,Moebius,0.182,0.786,-12.628,0.0852,0.00147,0.696,0.452,74.1
1980's,It's Only Love,Simply Red,0.666,0.884,-5.243,0.0429,0.506,0.00612,0.754,92.005
1980's,Fields Of Fire,Big Country,0.592,0.907,-8.87,0.0584,0.00111,0.0862,0.613,123.815
1980's,I'm Gonna Miss You,Kenny Loggins,0.695,0.665,-10.85,0.0271,0.574,3.99e-06,0.855,100.908
1980's,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,0.634,0.644,-8.234,0.0838,0.51,7.09e-05,0.286,135.24
1980's,When He Shines,Sheena Easton,0.346,0.0677,-15.864,0.0341,0.922,3.44e-06,0.0855,110.559
1980's,Addiction,Skinny Puppy,0.642,0.791,-12.816,0.034,0.007,0.000603,0.581,109.669
1980's,Small World,Huey Lewis & The News,0.565,0.725,-5.7,0.0336,0.0985,0.000546,0.57,113.198
1980's,Le rock pirate,Vladimir Cosma,0.507,0.962,-7.105,0.0425,0.336,0.775,0.846,157.892
1980's,Stone Love,Kool & The Gang,0.693,0.575,-17.068,0.0313,0.068,0.000704,0.916,109.99
1980's,Dance Hall Clash - Acappella,Tenor Fly,0.928,0.713,-15.274,0.162,0.265,0,0.968,101.48
1980's,Holy Hack Jack,Demented Are Go,0.365,0.937,-5.419,0.092,0.000392,0.0156,0.457,101.372
1980's,Deep Down Trauma Hounds,Skinny Puppy,0.703,0.527,-16.199,0.0665,0.0161,0.013,0.269,110.06
1980's,Punk Is Dead - Live,Crass,0.312,0.765,-9.277,0.0951,0.00726,0.229,0.645,202.365
1980's,Martires del Rock and Roll,Los Suaves,0.431,0.8,-12.565,0.228,0.0023,3.01e-05,0.449,168.261
1980's,The Pursuit of Power (A),Keith Mansfield,0.535,0.222,-17.628,0.0415,0.921,0.865,0.0673,80.976
1980's,Need A Little Taste Of Love,The Doobie Brothers,0.605,0.919,-8.372,0.0503,0.000382,0.00139,0.84,115.006
1980's,Mas Que Nada,Luiz Henrique,0.575,0.179,-21.549,0.0501,0.902,0.0316,0.664,78.265
1980's,Bottle of Smoke,The Pogues,0.44,0.82,-12.919,0.0385,0.0416,0.000212,0.941,147.853
1980's,Falling In Love (Uh-Oh),Miami Sound Machine,0.723,0.484,-14.456,0.026,0.261,0.00692,0.962,108.991
1980's,Forever Your Girl,Paula Abdul,0.701,0.891,-7.873,0.0446,0.185,0.0454,0.747,119.966
1980's,Vivo Sonhando,Stan Getz,0.464,0.272,-12.569,0.0338,0.901,1.35e-05,0.385,140.946
1980's,One More Try,George Michael,0.551,0.291,-12.544,0.0283,0.434,3.78e-05,0.0823,119.005
1980's,Athol-brose,Cocteau Twins,0.481,0.625,-5.816,0.0383,0.000574,0.788,0.437,120.078
