Year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1990's,Misty Roses,Astrud Gilberto,0.527,0.316,-15.769,0.031,0.693,0.00699,0.543,116.211
1990's,Never Ever,All Saints,0.738,0.541,-5.485,0.0311,0.559,0,0.309,134.187
1990's,Soul Sermon,Gregg Karukas,0.736,0.419,-10.662,0.03,0.693,0.495,0.265,93.982
1990's,Clarinet Marmalade - Live,Alton Purnell,0.565,0.594,-13.086,0.0646,0.655,0.926,0.763,114.219
1990's,Drum & Base and Rock Remix,Skryabin,0.513,0.76,-10.077,0.0355,1.72e-05,0.00339,0.961,153.166
1990's,Cuspa Cerveja...,Os Pedrero,0.166,0.985,-4.529,0.119,0.147,0.179,0.609,170.045
1990's,Baby-Baby-Baby,TLC,0.679,0.597,-8.601,0.0439,0.0913,0.000673,0.9,184.174
1990's,I Missed The Bus,Kris Kross,0.811,0.634,-10.408,0.0714,0.00469,0.00943,0.273,107.915
1990's,The Comfort Zone,Vanessa Williams,0.528,0.234,-15.784,0.0283,0.641,0,0.191,95.911
1990's,Hardcore Rules,25 Ta Life,0.207,0.989,-5.564,0.218,0.000118,0.134,0.323,200.465
1990's,Black Cat,Janet Jackson,0.705,0.913,-7.253,0.0484,0.103,0.00111,0.665,114.959
1990's,Piedra,Caifanes,0.643,0.816,-8.535,0.0476,0.0357,7.28e-05,0.616,115.061
1990's,Jack Introduces Don't Think Twice,Ramblin' Jack Elliott,0.567,0.0638,-27.025,0.897,0.706,0,0.54,87.712
1990's,I'll Be Loving You,Collage,0.62,0.868,-6.805,0.0528,0.00591,0,0.339,133.97
1990's,Prelude and Story,Tony Kinsey,0.295,0.209,-13.146,0.0348,0.916,0.00154,0.0786,126.328
1990's,No Fool No More,En Vogue,0.53,0.679,-5.987,0.0523,0.444,0,0.338,76.045
1990's,Universal Heart-Beat,Juliana Hatfield,0.534,0.814,-7.978,0.0717,0.0359,0.00539,0.686,127.967
1990's,Last Goodbye,Kenny Wayne Shepherd,0.461,0.695,-7.662,0.0282,0.0275,0,0.371,149.346
1990's,Wade in the Water,Ella Jenkins,0.486,0.262,-11.864,0.0381,0.83,0,0.329,128.764
1990's,Connected,Stereo MC's,0.647,0.798,-12.144,0.0365,0.0498,0.00221,0.706,100.631
1990's,Transylvanian Concubine (The Manson Mix (Radio Edit))**,Rasputina,0.666,0.765,-7.859,0.0973,3.86e-05,0.00529,0.563,103.971
1990's,"Hey Helmut, wach auf! - Rock Mix",Holger,0.48,0.775,-5.441,0.0545,0.66,7.36e-06,0.733,89.919
1990's,Lo Mejor del Rock N' Roll,Expulsados,0.273,0.824,-4.981,0.0742,0.0153,0.322,0.777,185.664
1990's,Every Heartbeat,Amy Grant,0.648,0.89,-3.834,0.0429,0.288,0,0.808,126.956
1990's,A Life of Possibilities,Dismemberment Plan,0.709,0.837,-7.273,0.0779,0.101,0.511,0.502,125.485
1990's,Sluttering (May 4th),Jawbreaker,0.433,0.983,-5.415,0.079,0.00338,0.000454,0.632,158.985
1990's,Reach For The Sky,Firehouse,0.562,0.891,-8.283,0.0361,1.21e-05,0.0588,0.524,132.569
1990's,Decidete,Luis Miguel,0.614,0.904,-4.811,0.0375,0.63,0,0.772,135.606
1990's,"Musica ricercata: No. 7, Cantabile, molto legato",György Ligeti,0.278,0.00897,-35.603,0.0328,0.986,0.781,0.598,110.174
1990's,On Point,House Of Pain,0.814,0.537,-10.198,0.0691,0.0464,0.000319,0.556,104.21
1990's,Monster Jam,Spoonie Gee Meets The Sequence,0.882,0.914,-6.324,0.16,0.449,0,0.81,106.672
1990's,To Be With You,Mr. Big,0.688,0.375,-9.601,0.0535,0.286,0,0.45,83.635
1990's,Say It (Over And Over Again),John Coltrane Quartet,0.482,0.115,-14.606,0.035,0.946,0.286,0.237,66.801
1990's,Someday,Sugar Ray,0.743,0.67,-4.547,0.0293,0.0108,0.0702,0.934,110.832
1990's,Pop Loser,Velocity Girl,0.588,0.835,-8.511,0.0301,0.0808,0.00752,0.978,127.494
1990's,Metal Maniac Master Mind,U.D.O.,0.43,0.922,-8.334,0.0507,0.0723,0.00241,0.14,97.727
1990's,A Promise I Make,Dakota Moon,0.711,0.481,-8.135,0.0242,0.273,0,0.392,90.118
1990's,Watch For The Hook,"Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor",0.561,0.72,-4.854,0.355,0.0211,0,0.518,86.953
1990's,Powerful Thing,Trisha Yearwood,0.614,0.868,-3.97,0.0459,0.413,0,0.956,147.978
1990's,Condon Nacional,Sexual Democracia,0.631,0.458,-12.136,0.0441,0.275,0,0.627,90.96
1990's,Hell Bent for Leather,Judas Priest,0.497,0.831,-7.412,0.124,0.00758,2.02e-05,0.287,96.404
1990's,I Luv U Baby,The Original,0.69,0.838,-6.392,0.0329,0.106,8.9e-06,0.902,126.821
1990's,For the Love of God,Steve Vai,0.152,0.842,-5.783,0.0418,0.00347,0.912,0.283,95.49
1990's,Yamral Tiletish,The Roha Band,0.672,0.697,-9.754,0.031,0.436,2.59e-06,0.846,112.137
1990's,Rock n' Roll,Suicide,0.251,0.34,-15.731,0.0356,0.000124,0.734,0.0315,101.663
1990's,My Bucket's Got A Hole In It,Kid Ory,0.685,0.409,-13.102,0.0737,0.491,0.228,0.864,138.635
1990's,If I Ruled The World,Nas,0.879,0.564,-7.682,0.247,0.0474,9.43e-06,0.523,93.908
1990's,A New Dawn - Gujarat Prabhatiyu,Rakesh Chaurasia,0.347,0.54,-6.839,0.0305,0.364,0.0565,0.449,141.814
1990's,Alright - Demo,Osker,0.319,0.967,-6.067,0.122,0.124,0,0.714,108.664
1990's,Images In Stone,Patrick O'Hearn,0.174,0.278,-20.169,0.0378,0.0402,0.795,0.0489,70.064
