Year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
2010's,Brethren of the Pentagram,Lock Up,0.343,0.978,-5.064,0.164,7.74e-06,2.86e-06,0.0832,120.629
2010's,What A Wonderful World & Somewhere Over The Rainbow [Instrumental Hawaiian Ukulele Medley],John Story,0.564,0.318,-13.652,0.0616,0.899,0.96,0.742,170.707
2010's,Stereo Love,Edward Maya & Vika Jigulina,0.773,0.736,-5.589,0.0383,0.0335,0.0184,0.212,127.056
2010's,Nice To Meet Ya,Niall Horan,0.591,0.841,-4.351,0.0304,0.0119,0,0.392,109.034
2010's,Setting Fires,The Chainsmokers Featuring XYLO,0.627,0.717,-5.751,0.0376,0.017,0,0.561,105.05
2010's,Tropicana Fruit Juice,Ycee,0.82,0.38,-7.989,0.0502,0.416,2.53e-05,0.647,95.004
2010's,Sidewalks,The Weeknd Featuring Kendrick Lamar,0.542,0.721,-5.136,0.0625,0.147,0,0.623,149.831
2010's,Shadows of doom,Graveland,0.313,0.845,-11.631,0.0849,0.0012,0.869,0.0555,124.991
2010's,Clique,"Kanye West, Jay-Z, Big Sean",0.66,0.539,-5.947,0.324,0.0534,0,0.307,109.318
2010's,No Llega el Olvido,Jenni Rivera,0.573,0.276,-8.073,0.0397,0.651,0,0.442,81.898
2010's,Mama's Song,Carrie Underwood,0.341,0.659,-5.419,0.0357,0.442,0,0.269,79.987
2010's,Liv Tonight,Nelly Featuring Keri Hilson,0.591,0.91,-4.593,0.0882,0.00492,0,0.655,135.024
2010's,I'll Find My Way Back To You,The Cats,0.672,0.594,-7.348,0.0312,0.0206,6.4e-06,0.817,122.374
2010's,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,0.72,0.763,-4.068,0.0523,0.406,0,0.742,101.965
2010's,Instrumental Music for Dogs,Sleepy Dogs,0.286,0.00486,-28.462,0.0381,0.994,0.839,0.0323,72.179
2010's,Come Join The Murder,The White Buffalo & The Forest Rangers,0.529,0.445,-7.156,0.0275,0.67,0.032,0.179,124.166
2010's,Attitude,Sepultura,0.475,0.942,-4.287,0.139,0.00141,0.0797,0.178,80.356
2010's,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,0.76,0.479,-5.574,0.0466,0.556,0,0.913,89.911
2010's,Train Food,XXXTENTACION,0.492,0.712,-7.278,0.691,0.564,9.1e-05,0.23,137.453
2010's,Sakura Trip,AIKA,0.684,0.854,-5.499,0.0544,0.00911,0.797,0.517,155.044
2010's,Plies,Tanya Gordon,0.447,0.0824,-19.868,0.0608,0.994,0.912,0.154,78.169
2010's,Nights Like This,Kehlani Featuring Ty Dolla $ign,0.61,0.725,-5.131,0.15,0.367,0,0.291,146.163
2010's,Loved,Fresh Life Worship,0.46,0.256,-9.276,0.0393,0.715,0,0.288,152.985
2010's,Infrared,Pusha T,0.674,0.578,-8.768,0.298,0.0518,0.0055,0.163,112.265
2010's,Girl In A Country Song,Maddie & Tae,0.59,0.908,-3.789,0.084,0.285,0,0.874,160.028
2010's,The Way (Your Soul Must Go),Living Death,0.248,0.911,-10.493,0.0748,4.65e-06,0.859,0.16,170.169
2010's,Can't Help Falling in Love,The Once,0.277,0.441,-9.054,0.0364,0.285,5.35e-06,0.135,96.848
2010's,Doom,IXION,0.225,0.712,-5.141,0.0475,0.000954,0.526,0.0488,120.032
2010's,Jump Right In,Zac Brown Band,0.697,0.82,-5.108,0.0575,0.0888,0,0.655,104.022
2010's,Punk (La Vie Antérieure),Deerhunter,0.556,0.729,-8.553,0.0662,0.531,0.148,0.786,120.004
2010's,Black Hole Metal,Black Crucifixion,0.349,0.959,-3.854,0.057,2.4e-05,0.75,0.257,94.977
2010's,TATI,6ix9ine Featuring DJ SPINKING,0.779,0.767,-5.462,0.258,0.00214,0,0.523,91.981
2010's,Codeine Dreaming,Kodak Black Featuring Lil Wayne,0.736,0.604,-7.357,0.222,0.0652,6.43e-05,0.574,155.007
2010's,We Are The World 25: For Haiti,Artists For Haiti,0.348,0.717,-5.634,0.0882,0.311,0,0.28,66.21
2010's,Father Christmas,Lord Kitchener,0.542,0.498,-12.2,0.0405,0.918,1.69e-06,0.817,94.899
2010's,Turn Out The Stars,Bill Evans,0.309,0.0432,-24.131,0.0542,0.995,0.951,0.102,74.74
2010's,Glory And Gore,Lorde,0.689,0.377,-8.761,0.0397,0.285,0,0.294,143.946
2010's,"Trial by Fire - Live @ Paramount Theatre, Huntington, New York",Testament,0.158,0.957,-8.401,0.113,9.36e-05,0.122,0.213,181.493
2010's,No Such Thing As A Broken Heart,Old Dominion,0.65,0.782,-4.295,0.0721,0.295,0,0.944,171.988
2010's,You & I,One Direction,0.574,0.329,-6.829,0.0274,0.22,0,0.356,130.993
2010's,Red Room,Offset,0.936,0.559,-8.587,0.157,0.479,0,0.527,112.347
2010's,Wicked Games,The Weeknd,0.658,0.591,-5.197,0.0309,0.00959,5.27e-06,0.326,114.078
2010's,New Freezer,Rich The Kid Featuring Kendrick Lamar,0.884,0.698,-9.101,0.364,0.0405,0,0.575,140.068
2010's,Metal Works - Original Mix,PØLI,0.62,0.971,-4.819,0.0616,0.000644,0.78,0.483,134.988
2010's,Gangnam Style,PSY,0.727,0.937,-2.871,0.287,0.00417,0,0.749,132.067
2010's,One Man Band,Old Dominion,0.706,0.358,-8.331,0.0348,0.677,0,0.478,75.991
2010's,All To Myself,Dan + Shay,0.646,0.781,-4.616,0.0313,0.208,0,0.565,94.975
2010's,Rain Is A Good Thing,Luke Bryan,0.622,0.932,-4.66,0.0498,0.105,2.37e-06,0.519,108.051
2010's,Meet Me Halfway,The Black Eyed Peas,0.798,0.629,-6.857,0.0735,0.00474,2.17e-05,0.4,130
2010's,Meet Billy - Live,Genetic Control,0.28,0.9,-8.375,0.0554,0.000106,1.07e-06,0.49,95.092
2010's,Got to Find a Way,Harold Burrage,0.707,0.474,-10.037,0.0431,0.0429,0,0.715,113.654
2010's,I,Lil Skies,0.649,0.453,-7.28,0.085,0.627,0,0.431,99.183
2010's,Love Me Like Rock and Roll,Katie Noel,0.505,0.61,-7.019,0.0446,0.00663,1.99e-06,0.273,147.896
2010's,I'm Into You,Jennifer Lopez Featuring Lil Wayne,0.592,0.747,-4.439,0.135,0.0181,0,0.704,83.929
2010's,Doom Funk,LX Sweat,0.364,0.503,-18.607,0.346,0.406,0.9,0.422,95.718
2010's,Rock Me Amadeus,Sun Diego,0.594,0.637,-5.634,0.0826,0.0641,0,0.268,88.817
2010's,Roll In Peace,Kodak Black Featuring XXXTENTACION,0.747,0.524,-6.807,0.245,0.0306,0,0.363,140.053
2010's,The Last Gasp of Street Rock n' Roll,Ramallah,0.36,0.907,-4.111,0.0949,0.000587,0,0.277,139.949
2010's,Slave Of Pain,The Profane,0.56,0.927,-4.671,0.0466,0.00269,6.67e-05,0.459,110.063
2010's,胜者为王,窒息,0.516,0.958,-3.439,0.128,0.00672,0.0342,0.484,104.717
2010's,Fuzzybrain,Dayglow,0.488,0.51,-8.367,0.026,0.0233,0.15,0.368,104.959
2010's,"Work Hard, Play Hard",Wiz Khalifa,0.787,0.666,-4.475,0.0485,0.0409,1.91e-05,0.485,140.008
2010's,Love The Way You Lie,Eminem Featuring Rihanna,0.749,0.925,-5.034,0.227,0.241,0,0.641,86.989
2010's,"Disciples of the Watch - Live @ Paramount Theatre, Huntington, New York",Testament,0.165,0.977,-8.826,0.133,5.52e-05,0.54,0.0522,96.78
2010's,Strength of a Thousand Men,Thomas Bergersen,0.478,0.906,-6.781,0.0419,0.0962,0.919,0.59,140.021
2010's,Topanga,Trippie Redd,0.755,0.615,-8.245,0.0454,0.00587,1.75e-06,0.039,105.955
