Year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
2000's,Lucky Man,Montgomery Gentry,0.578,0.471,-7.27,0.0289,0.368,0,0.532,133.061
2000's,On The Hotline,Pretty Ricky,0.704,0.854,-5.477,0.183,0.0185,0,0.688,92.988
2000's,Clouds Of Dementia,Candlemass,0.162,0.836,-3.009,0.0473,0.000111,0.00457,0.3,86.964
2000's,"Heavy Metal, Raise Hell!",Zwartketterij,0.188,0.994,-3.745,0.166,7.39e-06,0.0784,0.333,148.44
2000's,I Got A Feelin',Billy Currington,0.63,0.764,-4.353,0.0275,0.363,0,0.631,112.098
2000's,Dantzig Station,State Of Art,0.726,0.837,-7.223,0.0965,0.373,0.268,0.969,135.347
2000's,Divorced,Blacklisted,0.365,0.922,-2.644,0.071,0.00285,0,0.29,77.25
2000's,Where I Come From,Alan Jackson,0.726,0.631,-8.136,0.0334,0.22,0,0.746,124.711
2000's,Nothin' To Die For,Tim McGraw,0.481,0.786,-5.654,0.0288,0.0538,0,0.389,153.105
2000's,I Want to Know Your Plans,Say Anything,0.647,0.324,-9.679,0.0377,0.354,0,0.344,124.213
2000's,F.U.R.B. (F U Right Back),Frankee,0.787,0.632,-3.487,0.137,0.103,6.78e-06,0.612,141.026
2000's,Amarillo Sky,Jason Aldean,0.491,0.776,-3.887,0.0393,0.314,0,0.428,154.988
2000's,Gin And Juice,Hot Rod Circuit,0.455,0.737,-6.206,0.0272,0.00114,0.000487,0.206,94.028
2000's,Six-Pack Summer,Phil Vassar,0.725,0.733,-6.66,0.0242,0.508,0,0.843,100.311
2000's,Hatho Pai Kariya Na Kar,Kartar Ramla,0.497,0.421,-14.059,0.187,0.985,0.839,0.804,92.19
2000's,Serious Hardcore - Original Mix,Ham,0.509,0.942,-6.899,0.0628,0.000639,0.882,0.163,169.96
2000's,Daddy Won't Sell The Farm,Montgomery Gentry,0.708,0.728,-7.039,0.0298,0.011,2.26e-05,0.704,119.881
2000's,Move Along,The All-American Rejects,0.518,0.916,-3.858,0.0454,0.000148,0,0.646,109.864
2000's,Era De Maggio,Tito Schipa,0.395,0.248,-10.025,0.0519,0.979,0,0.324,85.174
2000's,Apply Some Pressure,Maximo Park,0.378,0.953,-3.632,0.138,0.000719,2.89e-05,0.512,167.808
2000's,It's So Hard,Big Punisher Featuring Donell Jones,0.9,0.593,-6.629,0.333,0.0554,0,0.633,92.946
2000's,Celtic Pride,The Mahones,0.329,0.812,-11.48,0.0872,0.0141,0.0786,0.4,165.013
2000's,Birth Interlude,Clubroot,0.389,0.598,-8.473,0.0363,0.782,0.948,0.0396,140.002
2000's,Make It Rain,Fat Joe Featuring Lil Wayne,0.744,0.697,-5.063,0.197,0.0106,0,0.767,149.28
2000's,Here Comes The Summer,The Fiery Furnaces,0.723,0.785,-5.722,0.0302,0.0247,0.00347,0.816,128.03
2000's,In the Dreamlife You Need a Rubber Soul,The Clean,0.56,0.808,-6.725,0.0306,0.2,0.308,0.691,128.051
2000's,He Gets That From Me,Reba McEntire,0.643,0.391,-10.09,0.0296,0.622,1.38e-05,0.418,143.786
2000's,Stay - 2006 Remaster,Frankie Valli & The Four Seasons,0.735,0.732,-8.915,0.0699,0.572,2.61e-05,0.656,117.58
2000's,Improvisation 5,Joe Mcphee,0.536,0.081,-20.968,0.0877,0.958,0.922,0.477,138.498
2000's,Carlene,Phil Vassar,0.587,0.88,-5.725,0.0324,0.0784,0,0.778,129.222
2000's,Someday,Sugar Ray,0.743,0.67,-4.547,0.0293,0.0108,0.0702,0.934,110.832
2000's,7 Days,Craig David,0.659,0.812,-7.499,0.0487,0.23,0,0.888,83.013
2000's,True Rebel,Nitrogenetics,0.539,0.985,-7.354,0.126,0.00857,0.12,0.127,162.065
2000's,Rock Your Body,Justin Timberlake,0.891,0.714,-6.055,0.14,0.202,0.000234,0.818,100.972
2000's,Bed,J. Holiday,0.684,0.606,-7.268,0.0504,0.17,0,0.723,127.901
2000's,Daft Punk Is Playing at My House - Soulwax Shibuya Mix,LCD Soundsystem,0.658,0.954,-5.376,0.0792,0.000891,9.8e-06,0.486,132.029
2000's,Scars,Papa Roach,0.471,0.936,-3.354,0.0448,0.0783,0,0.45,89.881
2000's,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,0.781,0.746,-2.686,0.17,0.364,0,0.786,89.43
2000's,Sound Of Madness,Shinedown,0.328,0.939,-1.654,0.0423,4.93e-05,0.0065,0.329,185.971
2000's,Here I Am,Rick Ross Featuring Nelly & Avery Storm,0.746,0.717,-5.788,0.127,0.189,0,0.475,109.753
2000's,Black Sails At Midnight,Alestorm,0.493,0.977,-3.808,0.151,7.21e-06,0.00538,0.322,100.02
2000's,Crush,David Archuleta,0.57,0.664,-4.718,0.0322,0.00836,1.2e-05,0.487,162.084
2000's,Caustic Disco,Velvet Acid Christ,0.564,0.878,-6.835,0.0499,9.11e-06,0.793,0.483,127.046
2000's,Arctic,Valhall,0.277,0.836,-6.563,0.0458,0.000225,0.0284,0.351,95.514
2000's,Some Beach,Blake Shelton,0.787,0.765,-6.331,0.0265,0.231,1.79e-05,0.964,115.979
2000's,When You Lie Next To Me,Kellie Coffey,0.312,0.404,-10.014,0.0293,0.184,0,0.115,138.425
2000's,"1, 2, 3, 4",Plain White T's,0.458,0.55,-7.092,0.0262,0.566,1.39e-05,0.56,90.56
2000's,Mama's Song,Carrie Underwood,0.341,0.659,-5.419,0.0357,0.442,0,0.269,79.987
2000's,Occult Glider,Jazkamer,0.168,0.808,-4.563,0.108,0.0329,0.964,0.0209,91.269
2000's,Hotarunohikari,Ikimonogakari,0.566,0.919,-1.901,0.0639,0.0666,0,0.55,146.99
2000's,Used To Love U,John Legend,0.661,0.796,-4.776,0.0833,0.0347,0,0.657,87.982
2000's,Rush,Aly & AJ,0.548,0.815,-5.218,0.0409,0.0175,8.9e-06,0.212,129.963
2000's,I Remember,Keyshia Cole,0.422,0.736,-4.426,0.049,0.203,0,0.303,129.278
2000's,Feeling Good - No Apologize Radio Edit,DJ Wag,0.71,0.796,-9.427,0.0554,0.00875,0.859,0.523,135.012
2000's,We Made It,Busta Rhymes Featuring Linkin Park,0.62,0.746,-6.006,0.0552,0.424,0,0.191,138.454
2000's,Almost Home,Craig Morgan,0.525,0.481,-6.715,0.0251,0.302,0,0.237,75.974
2000's,Who Let The Dogs Out,Baha Men,0.869,0.887,-4.505,0.0993,0.0605,0,0.784,129.221
2000's,Pollution Rock,Nordre Sving,0.547,0.683,-7.749,0.0368,0.0236,0,0.888,94.937
2000's,Ordinary People,John Legend,0.469,0.132,-14.001,0.0807,0.929,0,0.36,67.011
2000's,Coming Back Around - Domu Re-Beat Mix,Domu,0.364,0.866,-6.798,0.139,0.0134,0.00618,0.963,189.091
2000's,Living In Fast Forward,Kenny Chesney,0.689,0.907,-5.587,0.037,0.0254,0.000732,0.912,116.968
2000's,Königin,Faun,0.602,0.328,-16.128,0.0249,0.842,0.000758,0.413,108.003
2000's,How Far,Martina McBride,0.473,0.59,-5.373,0.0298,0.359,0,0.334,140.191
2000's,5 Star,Yo Gotti,0.715,0.809,-5.598,0.205,0.0607,0,0.636,76.493
2000's,Luckiest Man,The Wood Brothers,0.571,0.281,-10.56,0.0475,0.74,0,0.294,142.263
2000's,Blow Me,DJ D,0.461,0.93,-8.343,0.187,0.0531,0.733,0.14,163.934
2000's,Still Broken,Plan Three,0.51,0.881,-4.384,0.0354,0.000591,1.46e-05,0.278,91.034
2000's,Life Ain't Always Beautiful,Gary Allan,0.481,0.508,-7.666,0.0248,0.216,0.000175,0.268,86.013
2000's,Kiss A Girl,Keith Urban,0.653,0.786,-5.418,0.0338,0.0103,2.19e-06,0.477,120.992
2000's,Open House,Guru,0.744,0.739,-6.272,0.307,0.119,0,0.678,79.245
2000's,1000 Estrellas,Charlie 3,0.473,0.722,-5.176,0.0358,0.00507,0,0.549,149.625
2000's,Another Postcard (Chimps),Barenaked Ladies,0.621,0.747,-6.552,0.0782,0.00227,0.000234,0.726,172.31
2000's,As Good As I Once Was,Toby Keith,0.68,0.87,-4.461,0.0393,0.266,0,0.646,119.075
2000's,Headsprung,LL Cool J,0.718,0.786,-5.76,0.0284,0.0114,2.5e-05,0.465,99.916
2000's,Polonaise Brilliante,Nikolai Kapustin,0.387,0.268,-13.996,0.0348,0.995,0.828,0.337,113.357
2000's,Forever Heavy,Black Moth Super Rainbow,0.384,0.735,-4.856,0.0383,0.703,0.921,0.276,133.906
2000's,Treasure,Trevor Rabin,0.064,0.0794,-16.971,0.0403,0.432,0.896,0.0356,63.29
