year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1970's,Walk On,Neil Young,0.415,0.463,-9.339,0.0355,0.657,1.57e-06,0.665,171.608
1970's,We're On The Right Track,South Shore Commission,0.656,0.823,-9.809,0.0792,0.0434,1.43e-05,0.602,120.6
1970's,Wanderlust,Krisma,0.426,0.936,-2.883,0.107,0.208,0,0.508,87.871
1970's,7-6-5-4-3-2-1 (Blow Your Whistle),Gary Toms Empire,0.717,0.695,-9.941,0.0972,0.0148,5.51e-05,0.693,116.39
1970's,Sing For The Day,Styx,0.247,0.46,-13.513,0.0353,0.0867,0,0.401,67.63
1970's,Flight Over Rio,Al Di Meola,0.328,0.698,-11.7,0.0465,0.151,0.188,0.423,149.919
1970's,After Midnight,Maggie Bell,0.636,0.833,-7.231,0.0323,0.274,0.000175,0.879,94.604
1970's,One Way Or Another,Blondie,0.442,0.922,-5.086,0.0655,0.0532,3.86e-06,0.855,162.272
1970's,¿A Dónde Van?,Silvio Rodríguez,0.606,0.0976,-17.754,0.0473,0.949,0.000773,0.499,122.09
1970's,We're All Alone,Rita Coolidge,0.332,0.429,-8.376,0.0287,0.356,3.18e-05,0.239,128.073
1970's,Pai e Mãe,Gilberto Gil,0.449,0.303,-11.19,0.0293,0.76,4.69e-06,0.615,77.325
1970's,Crossing No. 9,Norman Blake,0.494,0.321,-13.868,0.0289,0.77,0.303,0.702,97.968
1970's,Love Me Again,Rita Coolidge,0.529,0.326,-10.462,0.0317,0.604,3.14e-05,0.133,141.21
1970's,"Money, Money, Money",ABBA,0.756,0.741,-6.426,0.0364,0.43,0.00113,0.691,120.445
1970's,Steal Away,Johnnie Taylor,0.523,0.302,-17.6,0.0631,0.214,0,0.837,165.091
1970's,Rainbow,Francis Lai,0.683,0.575,-14.056,0.038,0.395,0.0223,0.933,94.418
1970's,Paper Roses,Marie Osmond,0.359,0.504,-10.555,0.0349,0.272,1.52e-05,0.73,114.172
1970's,Bridget The Midget (The Queen Of The Blues),Ray Stevens,0.341,0.703,-15.473,0.13,0.611,0.000308,0.725,181.658
1970's,Scènes De Foule Et De Poursuite Pendant Le Carnaval,François Bréant,0.55,0.69,-12.606,0.0443,0.0878,0.902,0.488,113.557
1970's,Stoned To The Bone - Part 1,James Brown,0.859,0.725,-10.789,0.0819,0.23,0.000208,0.86,99.371
1970's,Jingle Jangle,The Archies,0.625,0.472,-11.18,0.0387,0.0368,0,0.617,109.302
1970's,For A While,Mary Macgregor,0.57,0.469,-9.233,0.0291,0.62,0.00436,0.598,137.718
1970's,You Take My Breath Away,Rex Smith,0.313,0.6,-7.913,0.0357,0.476,2.56e-05,0.272,141.912
1970's,Rock Island Line,Johnny Cash,0.6,0.601,-9.165,0.244,0.523,0,0.653,125.262
1970's,"Who Built The Ark: Noah, Noah",Mike Seeger,0.722,0.0773,-20.643,0.0747,0.761,0,0.295,78.174
1970's,Good Morning Judge,10cc,0.737,0.642,-9.492,0.0916,0.0185,0.00415,0.467,106.742
1970's,Paranoid,The Dickies,0.313,0.824,-7.25,0.0473,0.0231,1.99e-05,0.496,101.988
1970's,Outside Woman,Bloodstone,0.393,0.45,-10.626,0.131,0.0216,8.21e-05,0.389,149.67
1970's,Running fast,Stefano Torossi,0.464,0.896,-12.337,0.045,0.0298,0.563,0.845,138.79
1970's,Dance Away,Roxy Music,0.804,0.688,-5.893,0.0632,0.0662,0.000112,0.942,123.002
